track_id,track_name,artist_name,album_name,popularity,genero_etiqueta,origen_plataforma,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_secciones,num_compases,num_tiempos_beats,densidad_tatum,youtube_vistas,youtube_likes,youtube_engagement_rate
1WoDc1x28zHmxnPvvM5GLh,La Asesina,Zacarias Ferreira,El Amor,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,6,127,509,1.62,15335443,499281,3.26
7FrPSk0rZdCPR50pfzdzMK,Que Se Mueran,Romeo Santos,Fórmula Vol. 1 (Deluxe Edition),0,Bachata,Spotify,0.808,0.684,5,-3.711,0,0.068,0.264,0.00851,0.101,0.827,129.1,186215,8,100,400,2.27,844332,21942,2.6
6IfMD01z39P15HKezjdaMP,Bachata En Fukuoka,Juan Luis Guerra 4.40,Asondeguerra,0,Bachata,Spotify,0.788,0.7,0,-5.92,0,0.054,0.353,0.00951,0.133,0.647,121.7,219244,9,111,444,2.1,15075559,322041,2.14
3H9GcHKKJyZ9TEOLKlJ1U5,Bachata Rosa,Juan Luis Guerra 4.40,Bachata Rosa,0,Bachata,Spotify,0.794,0.605,3,-4.858,0,0.044,0.43,0.00433,0.145,0.895,126.9,225249,7,119,476,2.29,15250851,601974,3.95
6IQuWJZz13Dmc3aUph4vXf,Bachata Chata,Pau Hernandez,Bachata Chata,0,Bachata,Spotify,0.816,0.634,2,-4.63,1,0.043,0.301,0.00667,0.149,0.824,125.3,215710,8,112,450,1.62,629652,17036,2.71
6Onk4Z80ak704HuSjfZgs7,Tu Con El,Frankie Ruiz,El Papa De La Salsa,0,Salsa,Spotify,0.727,0.881,6,-5.409,1,0.034,0.11,0.00354,0.158,0.897,192.3,231415,12,185,741,2.54,753694,23567,3.13
4ZGk5h0sIfeunWEKzXEoHr,Siempre Sere,Tito Rojas,Sensual,0,Salsa,Spotify,0.789,0.816,11,-4.207,0,0.04,0.068,0.00878,0.164,0.722,189.3,246944,12,194,779,2.75,300187586,7211078,2.4
2i8otid5VKKnEaseBVO1vq,Deseándote,Frankie Ruiz,Oro Salsero,0,Salsa,Spotify,0.711,0.874,0,-6.068,0,0.078,0.194,0.00188,0.074,0.622,188.0,187543,9,146,587,2.78,8422443,376568,4.47
3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,3.0,0,Salsa,Spotify,0.774,0.834,11,-4.427,1,0.076,0.051,0.00721,0.19,0.62,187.9,190494,10,149,596,2.99,743631,29507,3.97
3Xy4svERcnUuFcOaBI0539,Salsa Con Coco,Pochy Y Su Cocoband,El Arrollador,0,Salsa,Spotify,0.756,0.897,0,-4.059,1,0.069,0.123,0.00029,0.086,0.589,170.0,215150,10,152,609,2.43,300121019,9311437,3.1
6btlotyCLtZUlZogXYSLCy,La Quebradora,Banda El Recodo,De Mexico para el Mundo,0,Quebradita,Spotify,0.766,0.853,0,-5.171,1,0.059,0.012,0.00709,0.118,0.642,226.0,217475,9,204,819,3.61,15283910,442826,2.9
3hLXyqekA8xdoFU2kgQ9NV,Quebradita,Banda Roja de Jose Leon,17 Exitos (Alegre y Mujeriego),0,Quebradita,Spotify,0.793,0.851,6,-3.828,0,0.032,0.089,0.00727,0.167,0.596,236.5,220558,12,217,869,3.69,15082476,335198,2.22
54YlyNUYMtrQzzU0vQyK60,Popurrí Quebraditas: Tumbando Caña / Como la Luna / Eva María - 30 Aniversario,Banda Maguey,Popurrí Quebraditas: Tumbando Caña / Como la Luna / Eva María (30 Aniversario),0,Quebradita,Spotify,0.706,0.938,9,-5.198,1,0.056,0.069,0.00601,0.215,0.733,256.3,243097,11,259,1038,3.47,15176017,228677,1.51
0Wu6AC02xgm8RUnyUEq12v,Quebradita En El Mar,Alacranes Musical,Lo Más Escuchado De,0,Quebradita,Spotify,0.664,0.889,7,-6.269,1,0.052,0.021,0.00732,0.095,0.818,253.3,208744,13,220,881,3.49,60443624,1133998,1.88
2PY9K39LmtKY9C9EoUd5hk,Quebradita en el Mar,Alacranes Musical,A Paso Firme,0,Quebradita,Spotify,0.74,0.963,8,-5.523,0,0.05,0.018,0.00821,0.097,0.684,257.8,237062,9,254,1018,3.44,60443624,1133998,1.88
07p0kLnvfQQ2bLujHyzSGK,Rechazame,Prince Royce,Prince Royce,0,Bachata,Spotify,0.73,0.706,3,-3.565,1,0.045,0.266,0.00087,0.145,0.556,122.9,248923,6,127,509,1.63,449989142,16883659,3.75
